;country_code;code_3;location;sub_regions_id;sub_region;continent_id;continent;population;aged_65_older_percent;gdp_per_capita;hospital_beds_per_thousand
0;4;AFG;Afghanistan;15;Southern Asia;2;Asia;38928341.0;2.581;1803.987;0.5
153;8;ALB;Albania;16;Southern Europe;3;Europe;2877800.0;13.188;11803.431;2.89
247;12;DZA;Algeria;9;Northern Africa;0;Africa;43851043.0;6.211;13913.839;1.9
405;28;ATG;Antigua and Barbuda;1;Caribbean;1;Americas;97928.0;6.933;21490.943;3.8
488;32;ARG;Argentina;12;South America;1;Americas;45195777.0;11.198;18933.907;5.0
584;51;ARM;Armenia;18;Western Asia;2;Asia;2963234.0;11.232;8787.58;4.2
738;36;AUS;Australia;0;Australia and New Zealand;4;Oceania;25499881.0;15.504;44648.71;3.84
901;40;AUT;Austria;19;Western Europe;3;Europe;9006400.0;19.202;45436.686;7.37
1064;31;AZE;Azerbaijan;18;Western Asia;2;Asia;10139175.0;6.018;15847.419;4.7
1220;44;BHS;Bahamas;1;Caribbean;1;Americas;393248.0;8.996;27717.847;2.9
1305;48;BHR;Bahrain;18;Western Asia;2;Asia;1701583.0;2.372;43290.705;2.0
1467;50;BGD;Bangladesh;15;Southern Asia;2;Asia;164689383.0;5.098;3523.984;0.8
1566;52;BRB;Barbados;1;Caribbean;1;Americas;287371.0;14.952;16978.068;5.8
1651;112;BLR;Belarus;6;Eastern Europe;3;Europe;9449321.0;14.799;17167.967;11.0
1814;56;BEL;Belgium;19;Western Europe;3;Europe;11589616.0;18.571;42658.576;5.64
1977;84;BLZ;Belize;2;Central America;1;Americas;397621.0;3.853;7824.362;1.3
2056;204;BEN;Benin;17;Western Africa;0;Africa;12123198.0;3.244;2064.236;0.5
2142;64;BTN;Bhutan;15;Southern Asia;2;Asia;771612.0;4.885;8708.597;1.7
2231;68;BOL;Bolivia;12;South America;1;Americas;11673029.0;6.704;6885.829;1.1
2322;70;BIH;Bosnia and Herzegovina;16;Southern Europe;3;Europe;3280815.0;16.569;11713.895;3.5
2412;72;BWA;Botswana;14;Southern Africa;0;Africa;2351625.0;3.941;15807.374;1.8
2483;76;BRA;Brazil;12;South America;1;Americas;212559409.0;8.552;14103.452;2.2
2646;96;BRN;Brunei;13;South-Eastern Asia;2;Asia;437483.0;4.591;71809.251;2.7
2738;100;BGR;Bulgaria;6;Eastern Europe;3;Europe;6948445.0;20.801;18563.307;7.454
2831;854;BFA;Burkina Faso;17;Western Africa;0;Africa;20903278.0;2.409;1703.102;0.4
2921;108;BDI;Burundi;4;Eastern Africa;0;Africa;11890781.0;2.562;702.225;0.8
2992;116;KHM;Cambodia;13;South-Eastern Asia;2;Asia;16718971.0;4.412;3645.07;0.8
3146;120;CMR;Cameroon;8;Middle Africa;0;Africa;26545864.0;3.165;3364.926;1.3
3236;124;CAN;Canada;10;Northern America;1;Americas;37742157.0;16.984;44017.591;2.5
3399;132;CPV;Cape Verde;17;Western Africa;0;Africa;555988.0;4.46;6222.554;2.1
3481;140;CAF;Central African Republic;8;Middle Africa;0;Africa;4829764.0;3.655;661.24;1.0
3568;152;CHL;Chile;12;South America;1;Americas;19116209.0;11.087;22767.037;2.11
3666;156;CHN;China;5;Eastern Asia;2;Asia;1439323774.0;10.641;15308.712;4.34
3829;170;COL;Colombia;12;South America;1;Americas;50882884.0;7.646;13254.949;1.71
3927;174;COM;Comoros;4;Eastern Africa;0;Africa;869595.0;2.963;1413.89;2.2
3967;188;CRI;Costa Rica;2;Central America;1;Americas;5094114.0;9.468;15524.995;1.13
4062;191;HRV;Croatia;16;Southern Europe;3;Europe;4105268.0;19.724;22669.797;5.54
4225;196;CYP;Cyprus;18;Western Asia;2;Asia;875899.0;13.416;32415.132;3.4
4316;203;CZE;Czech Republic;6;Eastern Europe;3;Europe;10708982.0;19.027;32605.906;6.63
4479;208;DNK;Denmark;11;Northern Europe;3;Europe;5792203.0;19.677;46682.515;2.5
4642;262;DJI;Djibouti;4;Eastern Africa;0;Africa;988002.0;4.213;2705.406;1.4
4726;214;DOM;Dominican Republic;1;Caribbean;1;Americas;10847904.0;6.981;14600.861;1.6
4880;218;ECU;Ecuador;12;South America;1;Americas;17643060.0;7.104;10581.936;1.5
5038;818;EGY;Egypt;9;Northern Africa;0;Africa;102334403.0;5.159;10550.206;1.6
5197;222;SLV;El Salvador;2;Central America;1;Americas;6486201.0;8.273;7292.458;1.3
5281;226;GNQ;Equatorial Guinea;8;Middle Africa;0;Africa;1402985.0;2.846;22604.873;2.1
5369;232;ERI;Eritrea;4;Eastern Africa;0;Africa;3546427.0;3.607;1510.459;0.7
5450;233;EST;Estonia;11;Northern Europe;3;Europe;1326539.0;19.452;29481.252;4.69
5613;231;ETH;Ethiopia;4;Eastern Africa;0;Africa;114963583.0;3.526;1729.927;0.3
5702;242;FJI;Fiji;7;Melanesia;4;Oceania;896444.0;6.224;8702.975;2.3
5785;246;FIN;Finland;11;Northern Europe;3;Europe;5540718.0;21.228;40585.721;3.28
5948;250;FRA;France;19;Western Europe;3;Europe;65273512.0;19.718;38605.671;5.98
6111;266;GAB;Gabon;8;Middle Africa;0;Africa;2225728.0;4.45;16562.413;6.3
6200;270;GMB;Gambia;17;Western Africa;0;Africa;2416664.0;2.339;1561.767;1.1
6285;268;GEO;Georgia;18;Western Asia;2;Asia;3989175.0;14.864;9745.079;2.6
6445;276;DEU;Germany;19;Western Europe;3;Europe;83783945.0;21.453;45229.245;8.0
6608;288;GHA;Ghana;17;Western Africa;0;Africa;31072945.0;3.385;4227.63;0.9
6697;300;GRC;Greece;16;Southern Europe;3;Europe;10423056.0;20.396;24574.382;4.21
6860;308;GRD;Grenada;1;Caribbean;1;Americas;112519.0;7.304;13593.877;3.7
6940;320;GTM;Guatemala;2;Central America;1;Americas;17915567.0;4.694;7423.808;0.6
7028;324;GIN;Guinea;17;Western Africa;0;Africa;13132792.0;3.135;1998.926;0.3
7116;328;GUY;Guyana;12;South America;1;Americas;786559.0;5.305;7435.047;1.6
7204;332;HTI;Haiti;1;Caribbean;1;Americas;11402533.0;4.8;1653.173;0.7
7287;340;HND;Honduras;2;Central America;1;Americas;9904608.0;4.652;4541.795;0.7
7376;348;HUN;Hungary;6;Eastern Europe;3;Europe;9660350.0;18.577;26777.561;7.02
7475;352;ISL;Iceland;11;Northern Europe;3;Europe;341250.0;14.431;46482.958;2.91
7638;356;IND;India;15;Southern Asia;2;Asia;1380004385.0;5.989;6426.674;0.53
7800;360;IDN;Indonesia;13;South-Eastern Asia;2;Asia;273523621.0;5.319;11188.744;1.04
7956;364;IRN;Iran;15;Southern Asia;2;Asia;83992953.0;5.44;19082.62;1.5
8119;368;IRQ;Iraq;18;Western Asia;2;Asia;40222503.0;3.186;15663.986;1.4
8280;372;IRL;Ireland;11;Northern Europe;3;Europe;4937796.0;13.928;67335.293;2.96
8442;376;ISR;Israel;18;Western Asia;2;Asia;8655541.0;11.733;33132.32;2.99
8605;380;ITA;Italy;16;Southern Europe;3;Europe;60461828.0;23.021;35220.084;3.18
8768;388;JAM;Jamaica;1;Caribbean;1;Americas;2961161.0;9.684;8193.571;1.7
8858;392;JPN;Japan;5;Eastern Asia;2;Asia;126476458.0;27.049;39002.223;13.05
9021;400;JOR;Jordan;18;Western Asia;2;Asia;10203140.0;3.81;8337.49;1.4
9111;398;KAZ;Kazakhstan;3;Central Asia;2;Asia;18776707.0;6.991;24055.588;6.7
9201;404;KEN;Kenya;4;Eastern Africa;0;Africa;53771300.0;2.686;2993.028;1.4
9298;414;KWT;Kuwait;18;Western Asia;2;Asia;4270563.0;2.345;65530.537;2.0
9458;417;KGZ;Kyrgyzstan;3;Central Asia;2;Asia;6524191.0;4.489;3393.474;4.5
9542;418;LAO;Laos;13;South-Eastern Asia;2;Asia;7275556.0;4.029;6397.36;1.5
9620;428;LVA;Latvia;11;Northern Europe;3;Europe;1886202.0;19.754;25063.846;5.57
9723;422;LBN;Lebanon;18;Western Asia;2;Asia;6825442.0;8.514;13367.565;2.9
9882;430;LBR;Liberia;17;Western Africa;0;Africa;5057677.0;3.057;752.788;0.8
9968;434;LBY;Libya;9;Northern Africa;0;Africa;6871287.0;4.424;17881.509;3.7
10046;440;LTU;Lithuania;11;Northern Europe;3;Europe;2722291.0;19.002;29524.265;6.56
10209;442;LUX;Luxembourg;19;Western Europe;3;Europe;625976.0;14.312;94277.965;4.51
10365;807;MKD;Macedonia;16;Southern Europe;3;Europe;2083380.0;13.26;13111.214;4.28
10519;450;MDG;Madagascar;4;Eastern Africa;0;Africa;27691019.0;2.929;1416.44;0.2
10601;454;MWI;Malawi;4;Eastern Africa;0;Africa;19129955.0;2.979;1095.042;1.3
10670;458;MYS;Malaysia;13;South-Eastern Asia;2;Asia;32365998.0;6.293;26808.164;1.9
10833;466;MLI;Mali;17;Western Africa;0;Africa;20250834.0;2.519;2014.306;0.1
10910;470;MLT;Malta;16;Southern Europe;3;Europe;441539.0;19.426;36513.323;4.485
11006;480;MUS;Mauritius;4;Eastern Africa;0;Africa;1271767.0;10.945;20292.745;3.4
