;day_id;date
0;737424;2019-12-31
1;737425;2020-01-01
2;737426;2020-01-02
3;737427;2020-01-03
4;737428;2020-01-04
5;737429;2020-01-05
6;737430;2020-01-06
7;737431;2020-01-07
8;737432;2020-01-08
9;737433;2020-01-09
10;737434;2020-01-10
11;737435;2020-01-11
12;737436;2020-01-12
13;737437;2020-01-13
14;737438;2020-01-14
15;737439;2020-01-15
16;737440;2020-01-16
17;737441;2020-01-17
18;737442;2020-01-18
19;737443;2020-01-19
20;737444;2020-01-20
21;737445;2020-01-21
22;737446;2020-01-22
23;737447;2020-01-23
24;737448;2020-01-24
25;737449;2020-01-25
26;737450;2020-01-26
27;737451;2020-01-27
28;737452;2020-01-28
29;737453;2020-01-29
30;737454;2020-01-30
31;737455;2020-01-31
32;737456;2020-02-01
33;737457;2020-02-02
34;737458;2020-02-03
35;737459;2020-02-04
36;737460;2020-02-05
37;737461;2020-02-06
38;737462;2020-02-07
39;737463;2020-02-08
40;737464;2020-02-09
41;737465;2020-02-10
42;737466;2020-02-11
43;737467;2020-02-12
44;737468;2020-02-13
45;737469;2020-02-14
46;737470;2020-02-15
47;737471;2020-02-16
48;737472;2020-02-17
49;737473;2020-02-18
50;737474;2020-02-19
51;737475;2020-02-20
52;737476;2020-02-21
53;737477;2020-02-22
54;737478;2020-02-23
55;737479;2020-02-24
56;737480;2020-02-25
57;737481;2020-02-26
58;737482;2020-02-27
59;737483;2020-02-28
60;737484;2020-02-29
61;737485;2020-03-01
62;737486;2020-03-02
63;737492;2020-03-08
64;737495;2020-03-11
65;737499;2020-03-15
66;737500;2020-03-16
67;737501;2020-03-17
68;737502;2020-03-18
69;737503;2020-03-19
70;737504;2020-03-20
71;737505;2020-03-21
72;737506;2020-03-22
73;737507;2020-03-23
74;737508;2020-03-24
75;737509;2020-03-25
76;737510;2020-03-26
77;737511;2020-03-27
78;737512;2020-03-28
79;737513;2020-03-29
80;737514;2020-03-30
81;737515;2020-03-31
82;737516;2020-04-01
83;737517;2020-04-02
84;737518;2020-04-03
85;737519;2020-04-04
86;737520;2020-04-05
87;737521;2020-04-06
88;737522;2020-04-07
89;737523;2020-04-08
90;737524;2020-04-09
91;737525;2020-04-10
92;737526;2020-04-11
93;737527;2020-04-12
94;737528;2020-04-13
95;737529;2020-04-14
96;737530;2020-04-15
97;737531;2020-04-16
98;737532;2020-04-17
99;737533;2020-04-18
100;737534;2020-04-19
101;737535;2020-04-20
102;737536;2020-04-21
103;737537;2020-04-22
104;737538;2020-04-23
105;737539;2020-04-24
106;737540;2020-04-25
107;737541;2020-04-26
108;737542;2020-04-27
109;737543;2020-04-28
110;737544;2020-04-29
111;737545;2020-04-30
112;737546;2020-05-01
113;737547;2020-05-02
114;737548;2020-05-03
115;737549;2020-05-04
116;737550;2020-05-05
117;737551;2020-05-06
118;737552;2020-05-07
119;737553;2020-05-08
120;737554;2020-05-09
121;737555;2020-05-10
122;737556;2020-05-11
123;737557;2020-05-12
124;737558;2020-05-13
125;737559;2020-05-14
126;737560;2020-05-15
127;737561;2020-05-16
128;737562;2020-05-17
129;737563;2020-05-18
130;737564;2020-05-19
131;737565;2020-05-20
132;737566;2020-05-21
133;737567;2020-05-22
134;737568;2020-05-23
135;737569;2020-05-24
136;737570;2020-05-25
137;737571;2020-05-26
138;737572;2020-05-27
139;737573;2020-05-28
140;737574;2020-05-29
141;737575;2020-05-30
142;737576;2020-05-31
143;737577;2020-06-01
144;737578;2020-06-02
145;737579;2020-06-03
146;737580;2020-06-04
147;737581;2020-06-05
148;737582;2020-06-06
149;737583;2020-06-07
150;737584;2020-06-08
151;737585;2020-06-09
152;737586;2020-06-10
153;737493;2020-03-09
154;737494;2020-03-10
156;737496;2020-03-12
157;737497;2020-03-13
158;737498;2020-03-14
310;737488;2020-03-04
311;737489;2020-03-05
312;737490;2020-03-06
490;737491;2020-03-07
801;737487;2020-03-03
