;location;date;new_cases;new_deaths;population;aged_65_older_percent;gdp_per_capita;hospital_beds_per_thousand;year;month_of_year;week_of_year;weekday;day_of_year;code_3;country_code;continent;sub_region;hosp_level_natural_id;gdp_level_natural_id;hosp_level_pk;gdp_level_pk;hosp_level_desc;gdp_level_desc;sub_regions_id;continent_id;day_id
0;Afghanistan;2019-12-31;0;0;38928341;2.581;1803.987;0.5;2019;12;1;1;365;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737424
1;Afghanistan;2020-01-01;0;0;38928341;2.581;1803.987;0.5;2020;1;1;2;1;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737425
2;Afghanistan;2020-01-02;0;0;38928341;2.581;1803.987;0.5;2020;1;1;3;2;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737426
3;Afghanistan;2020-01-03;0;0;38928341;2.581;1803.987;0.5;2020;1;1;4;3;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737427
4;Afghanistan;2020-01-04;0;0;38928341;2.581;1803.987;0.5;2020;1;1;5;4;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737428
5;Afghanistan;2020-01-05;0;0;38928341;2.581;1803.987;0.5;2020;1;1;6;5;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737429
6;Afghanistan;2020-01-06;0;0;38928341;2.581;1803.987;0.5;2020;1;2;0;6;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737430
7;Afghanistan;2020-01-07;0;0;38928341;2.581;1803.987;0.5;2020;1;2;1;7;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737431
8;Afghanistan;2020-01-08;0;0;38928341;2.581;1803.987;0.5;2020;1;2;2;8;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737432
9;Afghanistan;2020-01-09;0;0;38928341;2.581;1803.987;0.5;2020;1;2;3;9;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737433
10;Afghanistan;2020-01-10;0;0;38928341;2.581;1803.987;0.5;2020;1;2;4;10;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737434
11;Afghanistan;2020-01-11;0;0;38928341;2.581;1803.987;0.5;2020;1;2;5;11;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737435
12;Afghanistan;2020-01-12;0;0;38928341;2.581;1803.987;0.5;2020;1;2;6;12;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737436
13;Afghanistan;2020-01-13;0;0;38928341;2.581;1803.987;0.5;2020;1;3;0;13;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737437
14;Afghanistan;2020-01-14;0;0;38928341;2.581;1803.987;0.5;2020;1;3;1;14;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737438
15;Afghanistan;2020-01-15;0;0;38928341;2.581;1803.987;0.5;2020;1;3;2;15;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737439
16;Afghanistan;2020-01-16;0;0;38928341;2.581;1803.987;0.5;2020;1;3;3;16;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737440
17;Afghanistan;2020-01-17;0;0;38928341;2.581;1803.987;0.5;2020;1;3;4;17;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737441
18;Afghanistan;2020-01-18;0;0;38928341;2.581;1803.987;0.5;2020;1;3;5;18;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737442
19;Afghanistan;2020-01-19;0;0;38928341;2.581;1803.987;0.5;2020;1;3;6;19;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737443
20;Afghanistan;2020-01-20;0;0;38928341;2.581;1803.987;0.5;2020;1;4;0;20;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737444
21;Afghanistan;2020-01-21;0;0;38928341;2.581;1803.987;0.5;2020;1;4;1;21;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737445
22;Afghanistan;2020-01-22;0;0;38928341;2.581;1803.987;0.5;2020;1;4;2;22;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737446
23;Afghanistan;2020-01-23;0;0;38928341;2.581;1803.987;0.5;2020;1;4;3;23;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737447
24;Afghanistan;2020-01-24;0;0;38928341;2.581;1803.987;0.5;2020;1;4;4;24;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737448
25;Afghanistan;2020-01-25;0;0;38928341;2.581;1803.987;0.5;2020;1;4;5;25;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737449
26;Afghanistan;2020-01-26;0;0;38928341;2.581;1803.987;0.5;2020;1;4;6;26;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737450
27;Afghanistan;2020-01-27;0;0;38928341;2.581;1803.987;0.5;2020;1;5;0;27;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737451
28;Afghanistan;2020-01-28;0;0;38928341;2.581;1803.987;0.5;2020;1;5;1;28;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737452
29;Afghanistan;2020-01-29;0;0;38928341;2.581;1803.987;0.5;2020;1;5;2;29;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737453
30;Afghanistan;2020-01-30;0;0;38928341;2.581;1803.987;0.5;2020;1;5;3;30;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737454
31;Afghanistan;2020-01-31;0;0;38928341;2.581;1803.987;0.5;2020;1;5;4;31;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737455
32;Afghanistan;2020-02-01;0;0;38928341;2.581;1803.987;0.5;2020;2;5;5;32;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737456
33;Afghanistan;2020-02-02;0;0;38928341;2.581;1803.987;0.5;2020;2;5;6;33;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737457
34;Afghanistan;2020-02-03;0;0;38928341;2.581;1803.987;0.5;2020;2;6;0;34;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737458
35;Afghanistan;2020-02-04;0;0;38928341;2.581;1803.987;0.5;2020;2;6;1;35;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737459
36;Afghanistan;2020-02-05;0;0;38928341;2.581;1803.987;0.5;2020;2;6;2;36;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737460
37;Afghanistan;2020-02-06;0;0;38928341;2.581;1803.987;0.5;2020;2;6;3;37;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737461
38;Afghanistan;2020-02-07;0;0;38928341;2.581;1803.987;0.5;2020;2;6;4;38;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737462
39;Afghanistan;2020-02-08;0;0;38928341;2.581;1803.987;0.5;2020;2;6;5;39;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737463
40;Afghanistan;2020-02-09;0;0;38928341;2.581;1803.987;0.5;2020;2;6;6;40;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737464
41;Afghanistan;2020-02-10;0;0;38928341;2.581;1803.987;0.5;2020;2;7;0;41;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737465
42;Afghanistan;2020-02-11;0;0;38928341;2.581;1803.987;0.5;2020;2;7;1;42;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737466
43;Afghanistan;2020-02-12;0;0;38928341;2.581;1803.987;0.5;2020;2;7;2;43;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737467
44;Afghanistan;2020-02-13;0;0;38928341;2.581;1803.987;0.5;2020;2;7;3;44;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737468
45;Afghanistan;2020-02-14;0;0;38928341;2.581;1803.987;0.5;2020;2;7;4;45;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737469
46;Afghanistan;2020-02-15;0;0;38928341;2.581;1803.987;0.5;2020;2;7;5;46;AFG;4;Asia;Southern Asia;FPTH;LOW;1;1;few hospital beds per thousand inhabitants;low income;15;2;737470
